# mycobench extended panel: nigeria-full
#
# GENERATED from verified NCBI metadata -- do not hand-edit.
#
# All 213 Illumina paired-end, non-bovis Mycobacterium tuberculosis runs whose
# BioSample geo_loc_name confirms Nigeria. 37 free-text matches from the East
# China Sea and 134 BioSamples with no geo_loc_name were excluded.
#
# SEVERELY STUDY-CLUSTERED. Run 'mycobench review-candidates' with
# --max-per-bioproject before using this panel for any interval or significance
# claim; see cohorts/README.md.
#
# phenotype_source is EMPTY on every row: concordance track only.
sample_id	sra_run	biosample	bioproject	organism	geo_loc_name	collection_date	isolation_source	platform	layout	bases	cohort_tier	phenotype_source	source_study
ng_SRR35084718	SRR35084718	SAMN50741100	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-02-10		ILLUMINA	PAIRED	156622811	B		NCBI_discovery_pending_publication_review
ng_SRR35084739	SRR35084739	SAMN50741052	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2019-01-29		ILLUMINA	PAIRED	182363474	B		NCBI_discovery_pending_publication_review
ng_SRR35084715	SRR35084715	SAMN50741103	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-07-27		ILLUMINA	PAIRED	154157620	B		NCBI_discovery_pending_publication_review
ng_SRR35084744	SRR35084744	SAMN50741047	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-02-28		ILLUMINA	PAIRED	184764540	B		NCBI_discovery_pending_publication_review
ng_SRR35084736	SRR35084736	SAMN50741054	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-06-26		ILLUMINA	PAIRED	146089629	B		NCBI_discovery_pending_publication_review
ng_SRR35084740	SRR35084740	SAMN50741051	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-04-27		ILLUMINA	PAIRED	202844736	B		NCBI_discovery_pending_publication_review
ng_SRR35084738	SRR35084738	SAMN50741053	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-06-19		ILLUMINA	PAIRED	172089663	B		NCBI_discovery_pending_publication_review
ng_SRR35084716	SRR35084716	SAMN50741102	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-06-03		ILLUMINA	PAIRED	158510346	B		NCBI_discovery_pending_publication_review
ng_SRR35084732	SRR35084732	SAMN50741058	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-10-06		ILLUMINA	PAIRED	180459383	B		NCBI_discovery_pending_publication_review
ng_SRR35084711	SRR35084711	SAMN50741106	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-10-14		ILLUMINA	PAIRED	147764901	B		NCBI_discovery_pending_publication_review
ng_SRR35084713	SRR35084713	SAMN50741104	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-08-27		ILLUMINA	PAIRED	126216159	B		NCBI_discovery_pending_publication_review
ng_SRR35084712	SRR35084712	SAMN50741105	PRJNA1309160	Mycobacterium tuberculosis	Nigeria	2020-09-17		ILLUMINA	PAIRED	159640933	B		NCBI_discovery_pending_publication_review
